codigo_rj;idhm;area;populacao;densidade;escolaridade;receita;despesa;itai;link_wiki;nome_municipio;regiao;latitude;longitude
3305802;0.73;773.33;165123;213.52;96.2;9.3129318E8;9.3042995E8;0.59;https://pt.wikipedia.org/wiki/Teres%C3%B3polis;Teresópolis;Metropolitana;-22.411943;-42.96583
3304706;0.718;603.63;41325;68.46;98.1;2.48618416E8;2.38889472E8;0.67;https://pt.wikipedia.org/wiki/Santo_Ant%C3%B4nio_de_P%C3%A1dua_(Rio_de_Janeiro);Santo Antônio de Pádua;Noroeste Fluminense;-21.538889;-42.18
3300951;0.685;108.63;8741;80.46;99.4;5.7594675E8;5.5260947E8;0.71;https://pt.wikipedia.org/wiki/Comendador_Levy_Gasparian;Comendador Levy Gasparian;Baixadas;-22.028889;-43.205
3303104;0.73;387.07;15074;38.94;98.6;9.5854784E7;1.4469496E8;0.8;https://pt.wikipedia.org/wiki/Natividade_(Rio_de_Janeiro);Natividade;Noroeste Fluminense;-21.041945;-41.97278
3305133;0.652;249.68;7070;28.32;99.2;8.5796176E7;7.3863984E7;0.47;https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_de_Ub%C3%A1;São José de Ubá;Noroeste Fluminense;-21.357779;-41.94278
3302270;0.659;81.69;96289;1178.61;96.6;3.66761088E8;4.14412704E8;0.7;https://pt.wikipedia.org/wiki/Japeri;Japeri;Metropolitana;-22.642778;-43.65278
3305604;0.654;937.75;21352;22.77;98.8;3.40554464E8;3.07795264E8;0.46;https://pt.wikipedia.org/wiki/Silva_Jardim;Silva Jardim;Baixadas;-22.650833;-42.391945
3302452;0.703;78.36;5415;69.1;97.7;8.1968416E7;7.5154112E7;0.5;https://pt.wikipedia.org/wiki/Macuco_(Rio_de_Janeiro);Macuco;Centro Fluminense;-21.983889;-42.252777
3304904;0.739;248.16;896744;3613.57;96.7;2.07497549E9;2.89844762E9;0.76;https://pt.wikipedia.org/wiki/S%C3%A3o_Gon%C3%A7alo_(Rio_de_Janeiro);São Gonçalo;Metropolitana;-22.826944;-43.05389
3303500;0.713;520.58;785867;1509.6;96.2;2.51147136E9;2.74612147E9;0.88;https://pt.wikipedia.org/wiki/Nova_Igua%C3%A7u;Nova Iguaçu;Metropolitana;-22.760323;-43.447727
3302304;0.668;253.53;7336;28.94;98.0;8.8479928E7;8.0674336E7;0.45;https://pt.wikipedia.org/wiki/Laje_do_Muria%C3%A9;Laje do Muriaé;Noroeste Fluminense;-21.205833;-42.12278
3302700;0.765;361.57;197277;545.61;96.4;6.3516897E9;6.0734781E9;0.93;https://pt.wikipedia.org/wiki/Maric%C3%A1;Maricá;Metropolitana;-22.918888;-42.81889
3301900;0.693;429.96;224267;521.6;97.1;1.02646157E9;1.08452928E9;0.59;https://pt.wikipedia.org/wiki/Itabora%C3%AD;Itaboraí;Metropolitana;-22.7475;-42.85583
3300233;0.728;70.97;40006;563.65;97.6;5.6428608E8;6.9563066E8;0.76;https://pt.wikipedia.org/wiki/Arma%C3%A7%C3%A3o_dos_B%C3%BAzios;Armação dos Búzios;Baixadas;-22.746944;-41.881943
3304151;0.704;719.64;22393;31.12;98.5;5.00754048E8;5.6211699E8;0.56;https://pt.wikipedia.org/wiki/Quissam%C3%A3;Quissamã;Norte Fluminense;-22.106943;-41.471943
3302809;0.736;95.32;17502;183.61;99.3;1.46168384E8;1.46390848E8;0.51;https://pt.wikipedia.org/wiki/Mendes;Mendes;Metropolitana;-22.526943;-43.732777
3305109;0.719;35.21;440962;12521.64;96.6;9.8696314E8;1.08145395E9;0.62;https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_de_Meriti;São João de Meriti;Metropolitana;-22.803888;-43.371944
3301306;0.726;462.91;46110;99.61;98.5;1.02677968E8;9.5446624E7;0.76;https://pt.wikipedia.org/wiki/Casimiro_de_Abreu_(Rio_de_Janeiro);Casimiro de Abreu;Centro Fluminense;-22.480833;-42.203888
3300209;0.718;638.27;129671;203.16;98.3;1.02391354E9;1.11065139E9;0.77;https://pt.wikipedia.org/wiki/Araruama;Araruama;Baixadas;-22.872778;-42.342777
3303906;0.745;791.14;278881;352.5;97.4;1.98757517E9;1.96836045E9;0.71;https://pt.wikipedia.org/wiki/Petr%C3%B3polis;Petrópolis;Metropolitana;-22.505;-43.17889
3304128;0.69;284.82;13682;48.04;97.6;1.38283824E8;1.3362316E8;0.72;https://pt.wikipedia.org/wiki/Quatis;Quatis;Sul Fluminense;-22.406944;-44.25778
3305554;0.713;265.18;80596;303.92;97.5;4.52825696E8;4.60571456E8;0.65;https://pt.wikipedia.org/wiki/Serop%C3%A9dica;Seropédica;Metropolitana;-22.743889;-43.70778
3302908;0.745;287.93;26582;92.32;98.6;3.00543328E8;3.26025664E8;0.62;https://pt.wikipedia.org/wiki/Miguel_Pereira;Miguel Pereira;Metropolitana;-22.45389;-43.468887
3301702;0.711;467.31;808161;1729.36;96.1;4.4325663E9;4.5666217E9;0.74;https://pt.wikipedia.org/wiki/Duque_de_Caxias_(Rio_de_Janeiro);Duque de Caxias;Metropolitana;-22.785833;-43.311943
3303955;0.715;82.25;24298;295.4;96.7;1.79781408E8;1.74855792E8;0.45;https://pt.wikipedia.org/wiki/Pinheiral;Pinheiral;Sul Fluminense;-22.512777;-44.00083
3304144;0.68;75.92;140523;1850.76;95.7;5.13313536E8;5.09034048E8;0.54;https://pt.wikipedia.org/wiki/Queimados;Queimados;Metropolitana;-22.715834;-43.555
3305901;0.667;591.15;10302;17.43;98.4;1.071662E8;1.10795344E8;0.77;https://pt.wikipedia.org/wiki/Trajano_de_Moraes;Trajano de Moraes;Centro Fluminense;-22.062778;-42.065834
3302502;0.709;390.77;228127;583.78;97.7;9.1213478E8;1.1861911E9;0.67;https://pt.wikipedia.org/wiki/Mag%C3%A9;Magé;Metropolitana;-22.652779;-43.040833
3303708;0.702;571.11;42063;73.65;98.6;2.72108096E8;2.94976928E8;0.78;https://pt.wikipedia.org/wiki/Para%C3%ADba_do_Sul;Paraíba do Sul;Centro Fluminense;-22.161943;-43.292778
3301009;0.716;4032.48;483540;119.91;97.3;2.0947536E8;1.68216176E8;0.79;https://pt.wikipedia.org/wiki/Campos_dos_Goytacazes;Campos dos Goytacazes;Norte Fluminense;-21.75389;-41.32389
3303302;0.837;133.75;481749;3601.67;97.0;6.0151194E9;5.3034394E9;0.91;https://pt.wikipedia.org/wiki/Niter%C3%B3i;Niterói;Metropolitana;-22.882778;-43.10389
3300902;0.691;558.28;14616;26.18;98.8;1.2380748E8;1.07380312E8;0.62;https://pt.wikipedia.org/wiki/Cambuci;Cambuci;Noroeste Fluminense;-21.575;-41.91083
3301603;0.659;379.61;10980;28.92;97.8;9.7548272E7;7.930528E7;0.57;https://pt.wikipedia.org/wiki/Duas_Barras;Duas Barras;Centro Fluminense;-22.050833;-42.521942
3305208;0.712;332.48;104029;312.88;97.9;4.92596864E8;5.581312E8;0.87;https://pt.wikipedia.org/wiki/S%C3%A3o_Pedro_da_Aldeia;São Pedro da Aldeia;Baixadas;-22.838888;-42.10278
3304508;0.68;478.78;8954;18.7;98.5;1.05582376E8;1.07120696E8;0.19;https://pt.wikipedia.org/wiki/Rio_das_Flores;Rio das Flores;Sul Fluminense;-22.167778;-43.585835
3300605;0.732;596.65;35173;58.95;98.1;2.3962016E8;2.28039744E8;0.71;https://pt.wikipedia.org/wiki/Bom_Jesus_do_Itabapoana;Bom Jesus do Itabapoana;Noroeste Fluminense;-21.133888;-41.68
3301207;0.696;305.74;17198;56.25;98.6;8.6234112E7;1.30644696E8;0.73;https://pt.wikipedia.org/wiki/Carmo_(Rio_de_Janeiro);Carmo;Norte Fluminense;-21.93389;-42.60889
