Codigo IBGE do Municipio;Codigo da Unidade da Federacao;Sigla da Unidade da Federacao;Nome das Grandes Regioes;Codigo IBGE da Mesoregiao;Nome da Mesoregiao;Codigo IBGE da Microregiao;Nome da Microregiao;area da unidade territorial;Estabelecimentos de Saude SUS;indice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010);Matricula - Ensino fundamental - 2012;Matricula - Ensino medio - 2012;Numero de unidades locais;Pessoal ocupado total;PIB per capita a preços correntes;Populacao residente;Populacao residente - Homens;Populacao residente - Mulheres;Populacao residente alfabetizada;Populacao residente que frequentava creche ou escola;Populacao residente, religiao catolica apostolica romana;Populacao residente, religiao espirita;Populacao residente, religiao evangelicas;Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes - Rural;Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes - Urbana;Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar, por situacao do domicilio - Rural;Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar, por situacao do domicilio - Urbana
330500;33;RJ;Sudeste;3302;Norte Fluminense;33003;Campos dos Goytacazes;455,044;12;0,671;5810;1170;683;8762;106348,05;32747;16229;16518;27517;9760;20128;756;7018;300;500;1187,13;1916,64
330510;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;35,216;48;0,719;65132;18732;6295;67704;10506,47;458673;218104;240569;407461;134233;167809;11940;163005;.;503,33;.;1871,93
330513;33;RJ;Sudeste;3301;Noroeste Fluminense;33002;Santo Antonio de Padua;250,28;5;0,652;902;249;214;1127;10535,2;7003;3498;3505;5632;1835;4634;16;1788;255;420;891,93;1657,86
330515;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33015;Serrana;220,432;12;0,66;2957;664;508;3238;31945,2;20251;10145;10106;17052;5796;8286;184;7892;366,67;468;1457,86;1848,21
330520;33;RJ;Sudeste;3304;Baixadas;33010;Lagos;332,792;29;0,712;14731;2778;1449;14629;10689,19;87875;43431;44444;75747;26697;28320;1974;37690;340;510;1223,52;2345,23
330530;33;RJ;Sudeste;3303;Centro Fluminense;33008;Santa Maria Madalena;397,898;8;0,646;1068;357;216;1185;11125,37;8895;4467;4428;7159;2310;6025;5;2354;300;455;1140,01;1640,47
330540;33;RJ;Sudeste;3303;Centro Fluminense;33005;Tres Rios;541,711;15;0,675;2731;778;593;4227;23052,41;17525;8766;8759;14694;4323;11474;278;4479;207,33;510;960,82;2061,24
330550;33;RJ;Sudeste;3304;Baixadas;33010;Lagos;353,566;22;0,709;11414;2961;6181;26497;12746,12;74234;36855;37379;64626;20875;31573;2373;22415;400;510;1530,54;2215,86
330555;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33017;Itaguai;283,762;23;0,713;14488;3894;827;12805;10904,39;78186;38433;39753;67808;24977;21457;1106;34413;408;500;1573;2023,55
330560;33;RJ;Sudeste;3304;Baixadas;33009;Bacia de Sao Joao;937,547;19;0,654;3544;575;370;3547;9012,88;21349;10808;10541;17021;6884;5734;176;9753;255;395,71;1348,47;1614,76
330570;33;RJ;Sudeste;3303;Centro Fluminense;33007;Nova Friburgo;395,516;15;0,611;2166;386;261;1896;12875,01;14900;7652;7248;11763;3163;7532;41;4684;333,33;510;1275,01;1674,16
330575;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;145,503;10;0,654;4692;662;428;4364;9458,03;30732;15289;15443;25936;8786;9433;163;12628;368,67;375;1618,24;1391,58
330580;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33015;Serrana;770,601;48;0,73;24901;5767;5094;38853;16874,51;163746;78275;85471;142581;47345;68732;4662;55675;347,5;510;1488,05;2765,8
330590;33;RJ;Sudeste;3303;Centro Fluminense;33008;Santa Maria Madalena;589,812;11;0,667;1556;400;205;1829;8912,09;10289;5258;5031;8222;2815;5410;60;3279;336;510;1441,14;1860,18
330600;33;RJ;Sudeste;3303;Centro Fluminense;33005;Tres Rios;326,136;33;0,725;11947;2738;2818;26379;22363,32;77432;37014;40418;67510;22502;47353;2588;21000;402,5;510;1635,34;2361,47
330610;33;RJ;Sudeste;3305;Sul Fluminense;33012;Barra do Pirai;1304,813;48;0,738;10420;2575;1602;13194;13727,11;71843;34450;37393;62960;20807;50237;4079;12079;393,33;510;1649,79;2177,09
330615;33;RJ;Sudeste;3301;Noroeste Fluminense;33001;Itaperuna;190,061;5;0,659;1781;346;175;1343;10100,17;9475;4756;4719;7669;2861;6370;10;2519;271;375;1252,59;1489,26
330620;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33014;Vassouras;538,129;25;0,714;5494;1285;811;8098;11751,34;34410;16391;18019;29523;11298;20502;1218;8837;380;510;1460,94;2495,28
330630;33;RJ;Sudeste;3305;Sul Fluminense;33011;Vale do Paraiba Fluminense;182,483;94;0,771;37158;11713;7197;85913;35546,76;257803;122919;134884;232803;74622;126357;13061;86208;850;622;2087,45;2829,94
