codigo_rj;idhm;area;populacao;densidade;escolaridade;receita;despesa;itai;wiki
3303401;0.745;935.42;189939;203.05;98.7;839506620;841562880;0.89;https://pt.wikipedia.org/wiki/Nova_Friburgo
3303500;0.713;520.58;785867;1509.6;96.2;2511471360;2746121470;0.88;https://pt.wikipedia.org/wiki/Nova_Igua%C3%A7u
3303609;0.72;190.94;41375;216.68;96.1;161861520;231539280;0.59;https://pt.wikipedia.org/wiki/Paracambi
3303708;0.702;571.11;42063;73.65;98.6;272108096;294976928;0.78;https://pt.wikipedia.org/wiki/Para%C3%ADba_do_Sul
3303807;0.693;924.29;45243;48.95;93.8;511496096;515143616;0.63;https://pt.wikipedia.org/wiki/Paraty
3303856;0.671;314.34;29619;94.23;97.7;221931744;223401968;0.82;https://pt.wikipedia.org/wiki/Paty_do_Alferes
3303906;0.745;791.14;278881;352.5;97.4;1987575170;1968360450;0.71;https://pt.wikipedia.org/wiki/Petr%C3%B3polis
3303955;0.715;82.25;24298;295.4;96.7;179781408;174855792;0.45;https://pt.wikipedia.org/wiki/Pinheiral
3304003;0.708;490.25;27474;56.04;97.7;343948128;346536160;0.78;https://pt.wikipedia.org/wiki/Pira%C3%AD
3304102;0.697;291.84;17288;59.24;99.1;146108560;159897040;0.62;https://pt.wikipedia.org/wiki/Porci%C3%BAncula
3304110;0.713;50.89;20373;400.32;98.9;250199088;226462880;0.85;https://pt.wikipedia.org/wiki/Porto_Real
3304128;0.69;284.82;13682;48.04;97.6;138283824;133623160;0.72;https://pt.wikipedia.org/wiki/Quatis
3304144;0.68;75.92;140523;1850.76;95.7;513313536;509034048;0.54;https://pt.wikipedia.org/wiki/Queimados
3304151;0.704;719.64;22393;31.12;98.5;500754048;562116990;0.56;https://pt.wikipedia.org/wiki/Quissam%C3%A3
3304201;0.768;1099.33;129612;117.9;97;982774270;928747580;0.83;https://pt.wikipedia.org/wiki/Resende_(Rio_de_Janeiro)
3304300;0.71;459.45;56276;122.48;97.2;371746528;493682176;0.52;https://pt.wikipedia.org/wiki/Rio_Bonito
3304409;0.683;846.79;17401;20.55;97.7;219871056;212196432;0.66;https://pt.wikipedia.org/wiki/Rio_Claro_(Rio_de_Janeiro)
3304508;0.68;478.78;8954;18.7;98.5;105582376;107120696;0.19;https://pt.wikipedia.org/wiki/Rio_das_Flores
3304524;0.773;228.04;156491;686.23;98.2;1114526720;1182932740;0.79;https://pt.wikipedia.org/wiki/Rio_das_Ostras
3304557;0.799;1200.32;6211223;5174.6;96.9;37784146000;43242246000;0.85;https://pt.wikipedia.org/wiki/Rio_de_Janeiro
3304607;0.668;810.96;10232;12.62;98.3;110222048;123408528;0.59;https://pt.wikipedia.org/wiki/Santa_Maria_Madalena_(Rio_de_Janeiro)
3304706;0.718;603.63;41325;68.46;98.1;248618416;238889472;0.67;https://pt.wikipedia.org/wiki/Santo_Ant%C3%B4nio_de_P%C3%A1dua_(Rio_de_Janeiro)
3304755;0.639;1118.03;45059;40.3;98;217898048;235386464;0.67;https://pt.wikipedia.org/wiki/S%C3%A3o_Francisco_de_Itabapoana
3304805;0.691;1034.83;38961;37.65;97.1;299114336;276597920;0.64;https://pt.wikipedia.org/wiki/S%C3%A3o_Fid%C3%A9lis
3304904;0.739;248.16;896744;3613.57;96.7;2074975490;2898447620;0.76;https://pt.wikipedia.org/wiki/S%C3%A3o_Gon%C3%A7alo_(Rio_de_Janeiro)
3305000;0.671;452.39;36573;80.84;97.5;865275580;808722110;0.41;https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_da_Barra
3305109;0.719;35.21;440962;12521.64;96.6;986963140;1081453950;0.62;https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_de_Meriti
3305133;0.652;249.68;7070;28.32;99.2;85796176;73863984;0.47;https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_de_Ub%C3%A1
3305158;0.66;220.17;22080;100.28;98.4;119476728;104299168;0.47;https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_do_Vale_do_Rio_Preto
