Municipio;codigo;latitude;longitude;populacao;areatotal;receitatotal;indicadordetransparencia;idhm
Rio de Janeiro;3304557;-22,91110000;-43,19753239;6211223;1200,329;33127990203,1;0,8;0,799
Santa Maria Madalena;3304607;-21,85490386;-41,95203809;10404;810,963;63639193,61;0,59;0,668
Santo Antônio de Pádua;3304706;-21,4706398;-42,13734345;42479;603,633;140007390,8;0,67;0,718
São Fidélis;3304805;-21,22551547;-41,22804968;38669;1034,833;128159615,7;0,64;0,691
São Francisco de Itabapoana;3304755;-21,52996277;-41,67310486;42205;1118,037;146274117,7;0,67;0,639
São Gonçalo;3304904;-22,73397617;-42,99751559;1084839;248,16;1414648885,1;0,76;0,739
São João da Barra;3305000;-21,61150901;-41,01000827;36102;452,396;446950891,7;0,41;0,671
São João de Meriti;3305109;-22,75595876;-43,33041716;472406;35,216;682631816,7;0,62;0,719
São José de Ubá;3305133;-21,29555496;-41,8336989;7171;249,688;53656655,49;0,47;0,652
São José do Vale do Rio Preto;3305158;-22,09504871;-42,93462162;21795;220,178;78659476,98;0,47;0,66
São Pedro da Aldeia;3305208;-22,75787506;-42,04182699;104476;332,488;291149285,1;0,87;0,712
São Sebastião do Alto;3305307;-21,7285183;-41,95217743;9357;397,214;56957844,78;0,52;0,646
Sapucaia;3305406;-21,99269908;-42,70198038;18228;540,673;85158857,29;0,48;0,675
Saquarema;3305505;-22,81115129;-42,55968394;89170;352,13;463189811,1;0,58;0,709
Seropédica;3305554;-22,63944778;-43,70881855;82312;265,189;261845494,8;0,65;0,713
Silva Jardim;3305604;-22,41187407;-42,2803954;21774;937,755;138699488,5;0,46;0,654
Sumidouro;3305703;-22,03835972;-42,56464638;15623;413,407;359515000,1;0,61;0,611
Tanguá;3305752;-22,72881456;-42,69917504;34309;143,007;102431731,1;0,74;0,654
Teresópolis;3305802;-22,12650739;-42,7449713;182594;773,338;563630461,7;0,59;0,73
Trajano de Moraes;3305901;-22,00962371;-42,15534651;10626;591,151;68591026,52;0,77;0,667
Três Rios;3306008;-22,08746104;-43,08906924;81804;322,843;295468450,3;0,54;0,725
Valença;3306107;-22,09228735;-43,74651827;76523;1300,767;234173210,6;0,71;0,738
Varre-Sai;3306156;-20,80705755;-41,75527363;11000;201,938;61644909,98;0,72;0,659
Vassouras;3306206;-22,22283978;-43,39658537;36896;536,073;210431585,3;0,48;0,714
Volta Redonda;3306305;-22,51964957;-44,02940049;273012;182,105;971328460,1;0,63;0,771
