-23.00694400;-44.31777800;0.83
-21.62581364;-42.10854316;0.37
-22.87385295;-42.33931716;0.77
-22.22443786;-43.11865397;0.80
-22.76580377;-41.93435845;0.76
-22.86367211;-42.23766848;0.70
-22.32489186;-43.97101183;0.87
-22.30382140;-44.02235371;0.81
-22.68503729;-43.36511717;0.63
-22.11703766;-42.44683989;0.48
-20.86436244;-41.72671165;0.71
-22.54597793;-42.13150173;0.92
-22.37744056;-42.71136934;0.62
-21.32642400;-41.81489202;0.62
-21.19525813;-41.37711657;0.64
-21.69764236;-42.23731483;0.71
-22.12252742;-41.63810167;0.79
-21.46323194;-41.41251754;0.46
-21.84041027;-42.44001461;0.57
-22.36117663;-42.21134318;0.73
-22.01007794;-43.33895992;0.76
-22.04862045;-41.88799219;0.93
-21.99730146;-42.31775710;0.78
-21.90652773;-42.52728826;0.57
-22.50992626;-43.23801161;0.74
-22.50408647;-43.56053807;0.49
-22.45543617;-43.04037465;0.87
-22.85490094;-42.19623460;0.70
-22.63611919;-42.84454157;0.59
-23.05731119;-43.82790027;0.83
-21.31643502;-41.58413643;0.71
-21.62763260;-41.93765192;0.51
-21.03009258;-42.07975198;0.45
-22.32146845;-44.58738057;0.78
-22.63581388;-43.55879290;0.70
-21.17442251;-42.18571030;0.45
-22.41007439;-41.69831833;0.81
-21.97431046;-42.29987374;0.50
-22.48470983;-43.06153288;0.67
-23.04270439;-44.13590957;0.39
-22.84120485;-42.73157785;0.93
-22.54148379;-43.69754335;0.51
-22.77691938;-43.39618028;0.69
-22.43957832;-43.44922428;0.62
-21.30551975;-42.14240314;0.51
-20.94044466;-41.91270883;0.80
-22.83389759;-43.42532390;0.81
-22.87619869;-43.02929868;0.91
-22.16038346;-42.52517994;0.89
-22.52665671;-43.44687127;0.88
-22.56850384;-43.59793281;0.59
-22.01744215;-43.34622316;0.78
-23.35852240;-44.71848610;0.63
-22.30529178;-43.32250832;0.82
-22.21051271;-43.02310478;0.71
-22.51357507;-43.99851414;0.45
-22.51001517;-43.83973665;0.78
-20.79777145;-41.78183916;0.62
-22.40579624;-44.27401753;0.85
-22.23962348;-44.18140855;0.72
-22.68805200;-43.53392830;0.54
-21.98217329;-41.44006252;0.56
-22.24257127;-44.29107987;0.83
-22.61836759;-42.55331082;0.52
-22.63986547;-44.02832160;0.66
-22.05153867;-43.58566159;0.19
-22.37735214;-41.93730519;0.79
-23.07455573;-43.19753239;0.80
-21.85490386;-41.95203809;0.59
-21.47063980;-42.13734345;0.67
-21.52996277;-41.67310486;0.67
-21.22551547;-41.22804968;0.64
-22.73397617;-42.99751559;0.76
-21.61150901;-41.01000827;0.41
-22.75595876;-43.33041716;0.62
-21.29555496;-41.83369890;0.47
-22.09504871;-42.93462162;0.47
-22.75787506;-42.04182699;0.87
-21.72851830;-41.95217743;0.52
-21.99269908;-42.70198038;0.48
-22.81115129;-42.55968394;0.58
-22.63944778;-43.70881855;0.65
-22.41187407;-42.28039540;0.46
-22.03835972;-42.56464638;0.61
-22.72881456;-42.69917504;0.74
-22.12650739;-42.74497130;0.59
-22.00962371;-42.15534651;0.77
-22.08746104;-43.08906924;0.54
-22.09228735;-43.74651827;0.71
-20.80705755;-41.75527363;0.72
-22.22283978;-43.39658537;0.48
-22.51964957;-44.02940049;0.63
